entity,main-dev,added,total-added,ownership
src/components/Header/Header.test.js,Gary Paige,113,181,0.62
src/components/Header/HeaderComponent.js,Muhamed Brifkani,29,29,1
src/components/Header/HeaderTasks.js,Gary Paige,124,163,0.76
src/components/Header/HeaderTasks.scss,Gary Paige,28,28,1
src/components/Header/HeaderTasks.test.js,Gary Paige,59,82,0.72
src/components/Header/Navbar.test.js,Muhamed Brifkani,30,30,1
src/components/Header/ResultsCounter.js,Gary Paige,140,152,0.92
src/components/Header/ResultsCounter.scss,Gary Paige,26,28,0.93
src/components/Header/ResultsCounter.test.js,Gary Paige,65,65,1
src/components/Header/index.js,Gary Paige,5,5,1
src/components/HelixTabs/HelixSearchContainer.js,Gary Paige,72,92,0.78
src/components/HelixTabs/HelixSearchContainer.test.js,Gary Paige,39,77,0.51
src/components/HelixTabs/HelixTabs.js,Gary Paige,97,130,0.75
src/components/HelixTabs/HelixTabs.scss,Gary Paige,52,53,0.98
src/components/HelixTabs/HelixTabs.test.js,Gary Paige,80,101,0.79
src/components/HelixTabs/HelixTabsContainer.js,Gary Paige,150,159,0.94
src/components/HelixTabs/HelixTabsContainer.test.js,Gary Paige,109,124,0.88
src/components/KnowledgeAlerts/KnowledgeAlert.js,Gary Paige,73,90,0.81
src/components/KnowledgeAlerts/KnowledgeAlert.test.js,Gary Paige,50,52,0.96
src/components/KnowledgeAlerts/KnowledgeAlerts.js,Gary Paige,205,206,1
src/components/KnowledgeAlerts/KnowledgeAlerts.scss,Gary Paige,121,128,0.95
src/components/KnowledgeAlerts/KnowledgeAlerts.test.js,Gary Paige,105,105,1
src/components/KnowledgeAlerts/index.js,Gary Paige,2,2,1
src/components/LaunchKana/LaunchKana.js,Muhamed Brifkani,58,59,0.98
src/components/LaunchKana/LaunchKana.scss,Muhamed Brifkani,24,30,0.8
src/components/LaunchKana/LaunchKana.test.js,Muhamed Brifkani,48,49,0.98
src/components/LaunchKana/index.js,Muhamed Brifkani,3,5,0.6
src/components/Loading/Loading.js,Gary Paige,47,47,1
src/components/Loading/Loading.scss,Gary Paige,50,50,1
src/components/Loading/Loading.test.js,Gary Paige,29,29,1
src/components/Loading/index.js,Gary Paige,4,4,1
src/components/Login/Login.js,Gary Paige,91,91,1
src/components/Login/Login.scss,Gary Paige,180,180,1
src/components/Login/Login.test.js,Gary Paige,51,51,1
src/components/Login/index.js,Gary Paige,4,4,1
src/components/MostRecent/MostRecent.js,brennanbelew,114,131,0.87
src/components/MostRecent/MostRecent.scss,brennanbelew,37,37,1
src/components/MostRecent/MostRecent.test.js,brennanbelew,164,184,0.89
src/components/MostRecent/index.js,brennanbelew,2,2,1
src/components/MostViewed/MostViewed.js,Gary Paige,131,165,0.79
src/components/MostViewed/MostViewed.scss,Gary Paige,109,109,1
src/components/MostViewed/MostViewed.test.js,Gary Paige,97,184,0.53
src/components/MostViewed/index.js,Gary Paige,2,2,1
src/components/NotFound/NotFound.js,Gary Paige,65,102,0.64
src/components/NotFound/NotFound.scss,argvader,43,53,0.81
src/components/NotFound/NotFound.test.js,argvader,24,40,0.6
src/components/NotFound/index.js,Muhamed Brifkani,2,7,0.29
src/components/Search/Pagination.js,Gary Paige,78,78,1
src/components/Search/Pagination.scss,Gary Paige,55,55,1
src/components/Search/Pagination.test.js,Gary Paige,42,42,1
src/components/Search/ResultsCounter.js,Gary Paige,71,71,1
src/components/Search/ResultsCounter.scss,Gary Paige,10,10,1
src/components/Search/ResultsCounter.test.js,Gary Paige,51,51,1
src/components/Search/Search.js,Gary Paige,209,209,1
src/components/Search/Search.scss,Gary Paige,31,31,1
src/components/Search/Search.test.js,Gary Paige,133,133,1
src/components/SearchBox/NotFound/NotFound.js,Muhamed Brifkani,14,14,1
src/components/SearchBox/NotFound/index.js,Muhamed Brifkani,1,1,1
src/components/SearchBox/SearchBox.js,Muhamed Brifkani,122,235,0.52
src/components/SearchBox/SearchBox.scss,Gary Paige,62,89,0.7
src/components/SearchBox/SearchBox.test.js,Gary Paige,78,126,0.62
src/components/SearchBox/SearchField.js,Muhamed Brifkani,187,383,0.49
src/components/SearchBox/SearchField.scss,Muhamed Brifkani,149,149,1
src/components/SearchBox/SearchField.test.js,Gary Paige,108,296,0.36
src/components/SearchBox/index.js,Gary Paige,1,3,0.33
src/components/SearchResults/CardView/CardView.js,Muhamed Brifkani,27,36,0.75
src/components/SearchResults/CardView/CardView.test.js,Muhamed Brifkani,31,34,0.91
src/components/SearchResults/CardView/ResultCard/Footer.js,Gary Paige,37,37,1
src/components/SearchResults/CardView/ResultCard/Footer.scss,Gary Paige,26,26,1
src/components/SearchResults/CardView/ResultCard/Footer.test.js,Gary Paige,33,33,1
src/components/SearchResults/CardView/ResultCard/ResultCard.js,Muhamed Brifkani,118,248,0.48
src/components/SearchResults/CardView/ResultCard/ResultCard.scss,Gary Paige,51,111,0.46
src/components/SearchResults/CardView/ResultCard/ResultCard.test.js,Muhamed Brifkani,57,125,0.46
src/components/SearchResults/CardView/ResultCard/index.js,Muhamed Brifkani,5,6,0.83
src/components/SearchResults/ListView/ListView.js,Muhamed Brifkani,19,26,0.73
src/components/SearchResults/ListView/ListView.test.js,Muhamed Brifkani,30,30,1
src/components/SearchResults/ListView/ResultList/ResultList.js,Muhamed Brifkani,114,175,0.65
src/components/SearchResults/ListView/ResultList/ResultList.scss,Muhamed Brifkani,43,55,0.78
src/components/SearchResults/ListView/ResultList/ResultList.test.js,Muhamed Brifkani,55,78,0.71
src/components/SearchResults/ListView/ResultList/index.js,Muhamed Brifkani,5,6,0.83
src/components/SearchResults/ResultCard/ResultCard.css,Gary Paige,41,41,1
src/components/SearchResults/ResultCard/ResultCard.js,Gary Paige,139,364,0.38
src/components/SearchResults/ResultCard/ResultCard.scss,Gary Paige,110,128,0.86
src/components/SearchResults/ResultCard/ResultCard.test.js,Gary Paige,16,39,0.41
src/components/SearchResults/ResultCard/index.js,Jeff Tougas,5,5,1
src/components/SearchResults/SearchResults.js,Muhamed Brifkani,89,190,0.47
src/components/SearchResults/SearchResults.scss,Muhamed Brifkani,67,76,0.88
src/components/SearchResults/SearchResults.test.js,Muhamed Brifkani,139,195,0.71
src/components/SearchResults/index.js,Jeff Tougas,2,4,0.5
src/components/TabMenu/Tab.js,Gary Paige,19,20,0.95
src/components/TabMenu/Tab.test.js,Gary Paige,17,17,1
src/components/TabMenu/TabMenu.js,Gary Paige,97,98,0.99
src/components/TabMenu/TabMenu.scss,Gary Paige,44,44,1
src/components/TabMenu/TabMenu.test.js,Gary Paige,36,36,1
src/components/TabMenu/index.js,Gary Paige,5,5,1
src/components/searchFilters/ApplyTags/ApplyTags.js,Gary Paige,40,40,1
src/components/searchFilters/ApplyTags/index.js,Gary Paige,1,1,1
src/components/searchFilters/CheckBoxRefinementList/CheckBoxRefinementList.js,Gary Paige,59,59,1
src/components/searchFilters/CheckBoxRefinementList/index.js,Gary Paige,1,1,1
src/components/searchFilters/NestedList/NestedList.js,Gary Paige,41,41,1
src/components/searchFilters/NestedList/index.js,Gary Paige,1,1,1
src/components/searchFilters/SelectFieldRefinementList/SelectFieldRefinementList.js,Gary Paige,32,32,1
src/components/searchFilters/SelectFieldRefinementList/index.js,Gary Paige,1,1,1
src/components/searchFilters/SortBy/SortBy.js,Gary Paige,30,30,1
src/components/searchFilters/SortBy/index.js,Gary Paige,1,1,1
src/components/searchFilters/index.js,Gary Paige,5,5,1
